Country,State,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05
CI,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,7,9,11,13,16,19
CL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,7,10,14,19,25,32,40,50,62,76,92,110,131,155,183,215,251,291,336,386,441,502
CM,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,6,8,10,13,16,20,24,29,35
CN,CN-AH,0,0,0,1,2,3,4,6,8,11,14,18,22,27,33,40,48,57,67,78,90,104,119,135,152,171,191,212,235,259,284,310,337,365,393,422,451,480,509,538,566,594,621,647,673,698,721,743,764,784,802,819,835,849,862,874,885,895,903,910,917,923,928,932,936,939,942,944,946,947,948,949,950,950,950
CN,CN-BJ,0,0,0,0,0,0,1,2,3,4,6,8,10,13,16,19,23,27,32,37,43,49,56,63,71,79,88,97,106,116,126,136,147,158,169,180,191,202,213,224,234,244,254,264,273,282,291,299,307,314,321,328,334,340,345,350,355,360,364,368,372,376,380,384,388,392,396,400,404,408,412,416,420,424,428
CN,CN-CQ,0,0,0,0,1,2,3,4,6,8,10,13,16,20,24,29,35,41,48,56,64,73,83,94,105,117,130,143,157,172,187,202,218,234,250,266,282,298,314,329,344,359,373,387,400,412,424,435,445,455,464,472,480,487,493,499,504,509,513,517,520,523,525,527,529,530,531,532,533,534,534,534,534,534,534
CN,CN-FJ,0,0,0,0,0,0,0,0,1,2,3,4,6,8,10,12,15,18,21,25,29,34,39,44,50,56,63,70,77,84,92,100,108,116,124,132,140,148,156,164,172,179,186,193,199,205,211,216,221,226,230,234,237,240,243,246,248,250,252,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269
CN,CN-GD,1,2,3,4,6,8,11,14,18,23,29,36,44,53,63,74,87,101,117,135,154,175,198,223,250,278,308,340,373,408,444,481,519,558,597,636,675,714,753,791,828,864,899,933,966,997,1026,1054,1080,1104,1127,1148,1167,1185,1201,1216,1229,1241,1252,1262,1271,1279,1286,1292,1298,1303,1308,1312,1316,1320,1324,1328,1332,1336,1340
CN,CN-GS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82
CN,CN-GX,0,0,0,0,0,0,0,0,0,1,2,3,4,5,7,9,11,13,16,19,22,25,29,33,37,42,47,52,58,64,70,76,82,88,95,102,109,116,123,129,135,141,147,153,159,164,169,174,179,183,187,191,194,197,200,202,204,206,208,210,211,212,213,214,215,215,215,215,215,215,215,215,215,215,215
CN,CN-GZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,9,11,13,15,17,20,23,26,29,32,36,40,44,48,52,56,60,64,68,72,76,80,83,86,89,92,95,98,100,102,104,106,108,109,110,111,112,113,114,114,114,114,114,114,114,114,114,114,114,114,114,114
CN,CN-HA,0,0,1,2,3,5,7,10,13,17,21,26,32,39,47,56,67,79,93,108,125,143,163,185,209,234,261,290,320,352,385,419,454,490,527,564,601,638,675,712,748,783,817,850,882,913,942,970,996,1020,1043,1064,1083,1101,1117,1132,1145,1157,1167,1176,1184,1191,1197,1202,1207,1211,1214,1217,1219,1221,1222,1223,1224,1225,1225
CN,CN-HB,17,39,66,100,141,192,254,329,420,528,657,808,985,1192,1432,1708,2024,2386,2798,3263,3787,4373,5026,5749,6546,7420,8374,9408,10526,11726,13008,14372,15816,17335,18926,20584,22303,24076,25895,27751,29636,31542,33458,35374,37281,39169,41028,42850,44626,46350,48013,49610,51136,52586,53959,55251,56462,57590,58637,59604,60493,61306,62046,62718,63325,63871,64360,64796,65183,65526,65828,66094,66327,66529,66705
CN,CN-HE,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,7,9,11,13,16,19,23,27,31,36,41,46,52,58,65,72,79,87,95,103,111,119,127,136,145,154,162,170,178,186,194,201,208,215,221,227,233,238,243,248,252,256,259,262,265,267,269,271,273,274,275,276,277,278,278,278,278,278,278,278
